date,event_count,avg_goldstein,avg_tone,total_mentions,risk_score,goldstein_change,tone_change,event_count_change,risk_change,risk_increase_tomorrow
2026-07-20,56,-2.5142857142857147,-5.117215264315338,351,67.77728767148781,-1.920168067226891,-3.861340057942389,22.0,13.483184317565438,0
2026-07-21,26,-2.142307692307692,-4.815874135646461,1496,66.058671348216,0.3719780219780229,0.3013411286688772,-30.0,-1.7186163232718172,1
2026-07-25,6,-5.9,-5.440852817462162,36,78.58170563492433,-3.7576923076923086,-0.6249786818157013,-20.0,12.523034286708338,0
2026-07-26,23,0.7999999999999999,-4.860298536653827,82,57.32059707330765,6.7,0.580554280808335,17.0,-21.26110856161668,1
2026-07-27,24,-1.0625,-3.608487702254664,876,60.40447540450933,-1.8624999999999998,1.2518108343991634,1.0,3.0838783312016744,1
2026-07-28,14,-2.557142857142857,-4.896857615721904,362,67.46514380287239,-1.494642857142857,-1.2883699134672404,-10.0,7.060668398363063,0
2026-07-29,27,-0.8740740740740741,-4.070243905504984,115,60.762710033232196,1.6830687830687827,0.82661371021692,13.0,-6.702433769640194,1
2026-07-30,44,-3.8,-5.801450880894012,272,73.00290176178802,-2.9259259259259256,-1.7312069753890276,17.0,12.240191728555828,0
2026-07-31,56,0.9714285714285714,-4.666003395632537,599,56.417721076979355,4.771428571428571,1.1354474852614747,12.0,-16.58518068480867,1
2026-08-01,2453,-1.8520994700366895,-4.253745268323763,29233,64.0637889467576,-2.823528041465261,0.41225812730877465,2397.0,7.646067869778243,0
2026-08-02,3288,-0.3885644768856448,-3.502126661720476,41016,58.16994675409789,1.4635349931510446,0.7516186066032868,835.0,-5.893842192659704,0
2026-08-03,3575,0.7871048951048951,-2.7165126260362653,47773,53.07171056675786,1.17566937199054,0.7856140356842105,287.0,-5.098236187340035,1
2026-08-04,3379,0.5967445989937852,-2.8804294347765174,53956,53.97062507257168,-0.19036029611110994,-0.16391680874025205,-196.0,0.8989145058138206,1
2026-08-05,2943,0.4434930343187224,-2.941708025113549,36236,54.55293694727092,-0.1532515646750628,-0.061278590337031424,-436.0,0.5823118746992435,1
2026-08-06,2969,0.2583698214887167,-3.229161520090845,38793,55.68321357571554,-0.1851232128300057,-0.2874534949772962,26.0,1.1302766284446193,1
2026-08-07,2734,0.0742136064374542,-3.043647801583744,35298,55.86465478385513,-0.18415621505126248,0.1855137185071012,-235.0,0.18144120813958864,1
2026-08-08,2006,-0.1015952143569292,-3.002744288970772,29507,56.310274221012335,-0.1758088207943834,0.04090351261297176,-728.0,0.4456194371572053,0
2026-08-09,2018,0.1053022794846382,-3.083024316556833,24784,55.85014179465975,0.20689749384156741,-0.08028002758606112,12.0,-0.4601324263525868,1
2026-08-10,2534,-0.0705603788476716,-3.03043308607107,39663,56.27254730868516,-0.1758626583323098,0.052591230485762974,516.0,0.4224055140254137,1
2026-08-11,3111,-0.202346512375442,-2.963020014415859,38450,56.53307956595803,-0.13178613352777038,0.06741307165521127,577.0,0.260532257272871,1
2026-08-12,3381,-0.0131617864537119,-3.289730566585913,39614,56.61894649253296,0.18918472592173008,-0.32671055217005396,270.0,0.08586692657492989,1
2026-08-13,2199,-0.6687585266030014,-3.660806724959496,21066,59.327889029727984,-0.6555967401492895,-0.3710761583735831,-1182.0,2.7089425371950213,0
2026-08-14,2442,0.0527027027027026,-3.059815977910292,21963,55.96152384771247,0.721461229305704,0.6009907470492042,243.0,-3.366365182015514,1
2026-08-15,1952,-0.5468237704918033,-3.874259573723376,25902,59.388990458922166,-0.5995264731945059,-0.814443595813084,-490.0,3.427466611209695,0
2026-08-16,2142,0.0241830065359476,-3.526959282923372,21337,56.9813695462389,0.5710067770277509,0.3473002908000038,190.0,-2.4076209126832637,0
2026-08-17,3941,0.4047449885815782,-3.4805735270096947,42840,55.746912088274655,0.38056198204563063,0.04638575591367733,1799.0,-1.2344574579642469,1
2026-08-18,3531,-0.0095157179269328,-3.489343650304895,43762,57.0072344543906,-0.414260706508511,-0.008770123295200438,-410.0,1.2603223661159433,1
2026-08-19,3169,-0.2814768065635847,-3.6376676235879546,34954,58.11976566686666,-0.2719610886366519,-0.14832397328305946,-362.0,1.112531212476064,0
