url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://jambi.tribunnews.com/news/1202784/trump-mau-klaim-as-pemilik-selat-hormuz-iran-gertak-tak-takut-kekuatan-as,,"Trump Mau Klaim AS Pemilik Selat Hormuz , Iran Gertak Tak Takut Kekuatan AS",20260815T074500Z,https://asset.tribunnews.com/SnDyJ9cnidceOGL14QVIWRMpzDY=/1200x675/filters:upscale():quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/jambi/foto/bank/originals/20260815-Kolase-foto-Mojtaba-Khamenei-Iran-Donald-Trump-AS-dan-Selat-Hormuz-sa.jpg,jambi.tribunnews.com,Indonesian,Indonesia
https://aceh.tribunnews.com/news/1039508/trump-klaim-tak-ada-lagi-negosiasi-dengan-iran-sebut-selat-hormuz-sudah-terbuka,,"Trump Klaim Tak Ada Lagi Negosiasi dengan Iran , Sebut Selat Hormuz Sudah Terbuka",20260819T043000Z,https://asset.tribunnews.com/8nRNZV_54me6-CpLuZrxWmmDoxY=/1200x675/filters:upscale():quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/aceh/foto/bank/originals/Presiden-Amerika-Serikat-AS-Donald-Trump-dalam-pidato-Selasa-2422026.jpg,aceh.tribunnews.com,Indonesian,Indonesia
https://www.almasryalyoum.com/news/details/4338184,,إيران : ترامب « خفيف العقل » ومضيق هرمز ملكنا,20260815T140000Z,https://mediaaws-live.almasryalyoum.com/almasryalyoum/uploads/images/2026/08/15/1943207.webp,almasryalyoum.com,Arabic,Egypt
https://www.tribunnews.com/internasional/7871494/terungkap-detail-operasi-rahasia-amerika-untuk-angkut-minyak-melalui-selat-hormuz,https://m.tribunnews.com/internasional/7871494/terungkap-detail-operasi-rahasia-amerika-untuk-angkut-minyak-melalui-selat-hormuz,"Terungkap , Detail Operasi Rahasia Amerika untuk Angkut Minyak Melalui Selat Hormuz",20260820T143000Z,https://asset.tribunnews.com/MnmjvmBTeqlP0uyAiwEYYQ28JhQ=/1200x675/filters:upscale():quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/tribunnews/foto/bank/originals/kapal-kapal-tanker-di-Selat-Hormuz.jpg,tribunnews.com,Indonesian,Indonesia
https://www.aksalser.com/news/2026/08/15/%D8%A5%D9%8A%D8%B1%D8%A7%D9%86-%D8%B1%D8%AF%D8%A7-%D8%B9%D9%84%D9%89-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D9%87%D8%B1%D9%85%D8%B2-%D9%84%D8%A7-%D9%8A%D9%8F%D9%86%D8%AA%D8%B2%D8%B9-%D8%A8%D8%AA%D8%BA%D8%B1/,,إيران ردا على ترامب : هرمز لا يُنتزع بتغريدة أو حاملة طائرات – عكس السير,20260815T103000Z,https://www.aksalser.com/news/wp-content/uploads/2026/08/1-25.webp,aksalser.com,Arabic,Syria
https://www.kompas.com/global/read/2026/08/19/135100770/trump-sebut-gagasan-jadikan-selat-hormuz-wilayah-as-ide-yang-bagus,,Trump Sebut Gagasan Jadikan Selat Hormuz Wilayah AS Ide yang Bagus,20260819T071500Z,"https://asset.kompas.com/crops/ALr0my6JqliO4sU4WVsrl8qhj9M=/0x0:2559x1706/1200x675/filters:watermark(data/photo/2026/01/30/697c81ac46b81.png,0,-0,1)/data/photo/2026/08/16/6a814453ba7b6.jpeg",kompas.com,Indonesian,Indonesia
https://www.dostor.org/5673466,,عبدالحليم قنديل : تصريحات ترامب عن السيطرة على مضيق هرمز خادعة,20260820T024500Z,,dostor.org,Arabic,Egypt
https://www.elkhabar.com/monde/%D8%B7%D9%87%D8%B1%D8%A7%D9%86-%D8%AA%D8%B1%D8%AF-%D8%B9%D9%84%D9%89-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-273845,,طهران ترد على ترامب .. - العالم : الخبر,20260817T191500Z,https://www.elkhabar.com/storage/images/article/g_3f304996b37108f38ecbb5b8c9a881a8.webp,elkhabar.com,Arabic,Algeria
https://www.elwatannews.com/news/details/8339748,,باحث في الشؤون الإيرانية : طهران تنقل الخلاف مع واشنطن من الملف النووي إلى مضيق هرمز,20260815T110000Z,https://media.elwatannews.com/media/img/Large/2026/8/15/2026_8_15_12_33_6_235.jpg,elwatannews.com,Arabic,Egypt
https://alwasat.ly/news/international/528141,, « الخارجية الإيرانية »: اتفقنا مع عمان بشأن خريطة الملاحة البحرية في مضيق هرمز,20260815T133000Z,https://cdn-ar-1.alwasat.ly/uploads/articles/QwDBtN6RSofG70HSgeld.jpg,alwasat.ly,Arabic,Libya
